"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 5","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/VR+Space+X/data=!4m7!3m6!1s0x182f13d5d22add99:0x9576944890280a82!8m2!3d-1.3309256!4d36.7146699!16s%2Fg%2F11k9hdy06v!19sChIJmd0q0tUTLxgRggookEiUdpU?authuser=0&hl=en&rclk=1","VR Space X","4.9","(29)","Recreation center","·","","Closed","· Opens 11 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqzjwu84ih4GAZPvvMWJU6xyN6FsBTOjvxhWQO4V6x82H330Vx2kralnGgYE09-U0dPYuOXnb-5EICLmIzIahG4UdQThO-TySBRQBqA62_9HTV2qqwXwbRdF_VzfRgCPY_4RyE=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Had loads of fun, enjoyed the diversity of","games","available""","",""
"https://www.google.com/maps/place/First+world+gamers/data=!4m7!3m6!1s0x182f19af977eb763:0x9036aa3caf25b5b!8m2!3d-1.2625851!4d36.7167607!16s%2Fg%2F11h5m5qr3v!19sChIJY7d-l68ZLxgRW1vyyqNqAwk?authuser=0&hl=en&rclk=1","First world gamers","5.0","(29)","Game store","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWByTmg69CPeVKCfESE3vLivZWwOsfaAmTjTXUmbiD8hRjDlDLl_nyr-61h6mO08Dz6tOrfsdQyZ6m1A7sqp9U3eW1mBsRjJaQMzUTHWLj4pBeyZdcUxSBEmhQy26oNH0wXz-bIA=w80-h142-k-no","","Delivery","","","PPP8+XP6, Mukiri Road",""
"https://www.google.com/maps/place/Tric+Gaming+Cafe/data=!4m7!3m6!1s0x182f1129e1b9fc19:0xb46df9094918627f!8m2!3d-1.2842872!4d36.8251311!16s%2Fg%2F11c1t5n570!19sChIJGfy54SkRLxgRf2IYSQn5bbQ?authuser=0&hl=en&rclk=1","Tric Gaming Cafe","4.5","(1,311)","Video arcade","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerENJtlKHfooKV3jP-OKdOz0ak4SneJgly3TmNIcno1Ebkcg1Lf9fBGkzj4-1WQ8nLlOlD0BQOzxqV7hUK18uh72XEqXAD7sWBr8hQxnCoOcou1axq66QSsPw45725Oy-TctpEJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Multiple consoles, comfy seats, good atmosphere.""","","","Commonwealth House",""
"https://www.google.com/maps/place/LASERLAND/data=!4m7!3m6!1s0x182f1bd8d3e28395:0x6ca577e6212057b6!8m2!3d-1.3410186!4d36.7521191!16s%2Fg%2F11nnv9jlsd!19sChIJlYPi09gbLxgRtlcgIeZ3pWw?authuser=0&hl=en&rclk=1","LASERLAND","4.6","(157)","Amusement center","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjcx0mVvMZ0GfocGQXNBmJJtG0XGFFWrEA2czOYYtRIOoWvIxR_wEnzNVbfQfaBS5yhrfhhDH1nH82Q0nJuG51OopUg_Y-hio1xb7ooJxW2YKalbxdny7iGqpHGN2o0Gxf5x0l=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A fun filled facility with exciting","games","and friendliest staff!!!""","",""
"https://www.google.com/maps/place/The+Hub+Park/data=!4m7!3m6!1s0x2202d65c8c6a1dd:0x2531ce62f8ef73c5!8m2!3d-1.3198739!4d36.7040752!16s%2Fg%2F11w9057ryy!19sChIJ3aHGyGUtIAIRxXPv-GLOMSU?authuser=0&hl=en&rclk=1","The Hub Park","4.8","(921)","Amusement center","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgEcokOHRBPqvcaNYkRxNB70Q8jH22w-fC5fM14S0o2-0ppF8vF1IYvCkmtqxErTj-wGc2waZFPKAlx8LQqV72hwY3T1dFnV2D-dRNeCUX0x4f2bQIw-kS_j2f01jaBH4-LALFW4aNvRa5=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Variety of","games","with excellent staff!""","·","The hub, Dagoretti Rd"
"https://www.google.com/maps/place/Game+Changer-Junction+Branch/data=!4m7!3m6!1s0x182f1b6aa86f3263:0xdd0187f76a72971a!8m2!3d-1.298489!4d36.7624734!16s%2Fg%2F11fvkzfwq1!19sChIJYzJvqGobLxgRGpdyaveHAd0?authuser=0&hl=en&rclk=1","Game Changer-Junction Branch","4.7","(20)","Toy store","·","","Closed","· Opens 10 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_Shs_q5CCOxc41HO2eY0AmcbF83F9wJbdBs1bluX9yZF1ZbQlm_Cflt_wZ7domYM35ahBwhPHYvBrBz76abR0TdA1P82HT8vyRwZjBbUfJdhZ_ZwB50MJ5pE6LYqGy92C85kJ=w105-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""You will leave with no regrets""","","","·","The Junction Mall, Ground Floor Ngong Rd"
"https://www.google.com/maps/place/Maji+Magic/data=!4m7!3m6!1s0x182f1b38f6fe4ba7:0xb2ab2758181e2b8!8m2!3d-1.3291914!4d36.7158394!16s%2Fg%2F11hdngd853!19sChIJp0v-9jgbLxgRuOKBgXWyKgs?authuser=0&hl=en&rclk=1","Maji Magic","4.4","(750)","Water park","·","","Closed","· Opens 9:30 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepC4h-rNMRJvipkIInWa2xCoSKnqQah0Em_LV08mNk60yilpUFaP74mCuwPI-Hdd4Qqg-2NkXaYXNnDkW-NW-Moe4l72_fvLjLHR0xeJdJxM9QBNlZxFBRkZHgHqesDjRRMnMzU=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent facilities, and just an all around fun experience.""","","","·","The Waterfront Mall, Langata Rd"
"https://www.google.com/maps/place/Strike+Arcade/data=!4m7!3m6!1s0x182f1bdeb24a99bb:0xd1ad472dd56db842!8m2!3d-1.3299736!4d36.7149682!16s%2Fg%2F11tbvxnpzw!19sChIJu5lKst4bLxgRQrht1S1HrdE?authuser=0&hl=en&rclk=1","Strike Arcade","4.2","(150)","Bowling alley","·","","Closed","· Opens 11 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepi2thFlyfl7v38F3OTH1A3vXBro8z1sF69Qlk34YF3LnCV52l-22uXb9ucameTzrUdxZbITp5kdypaTOxe5ap-7Z9PRE780J8TCChqIFJ1-Di_7rv1YprMyrqt99UznEE1xxK8sQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Come experience fun","games",", drink, food and beautiful people.""","",""
